City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,rikaze,29.25,88.8833,55.42,67,93,2.26,CN,1722816663
117,bethanie,-26.4833,17.15,42.51,91,43,5.26,NA,1722816664
118,la ronge,55.1001,-105.2842,70.02,46,100,5.75,CA,1722816595
119,toliara,-23.35,43.6667,65.77,64,0,5.37,MG,1722816666
120,the pas,53.8251,-101.2541,70.57,46,49,5.35,CA,1722816668
121,yellowknife,62.456,-114.3525,69.42,74,87,5.14,CA,1722816538
122,quatre cocos,-20.2078,57.7625,66.09,73,4,6.06,MU,1722816670
123,puerto natales,-51.7236,-72.4875,33.58,98,100,1.72,CL,1722816672
124,chegdomyn,51.1167,133.0167,58.51,97,100,3.2,RU,1722816673
125,aldinga beach,-35.2793,138.4604,53.67,81,100,6.02,AU,1722816675
126,hermanus,-34.4187,19.2345,50.63,66,70,16.64,ZA,1722816567
127,yarkovo,57.4028,67.0786,56.08,95,45,3.22,RU,1722816678
128,phalaborwa,-23.943,31.1411,68.58,21,20,4.83,ZA,1722816680
129,conde,-7.2597,-34.9075,72.86,94,75,9.22,BR,1722816681
130,sisimiut,66.9395,-53.6735,48.06,78,80,2.28,GL,1722816577
131,shingu,33.7333,135.9833,85.96,71,3,3.24,JP,1722816453
132,conway,35.0887,-92.4421,91.38,63,0,4.56,US,1722816684
133,hauterive,46.0901,3.4459,61.56,94,90,2.53,FR,1722816686
134,talnakh,69.4865,88.3972,51.85,58,0,11.72,RU,1722816687
135,sicuani,-14.2694,-71.2261,49.71,65,89,6.53,PE,1722816688
136,yarega,63.4354,53.5765,53.46,99,57,5.53,RU,1722816689
137,bandar abbas,27.1865,56.2808,87.57,87,98,13.67,IR,1722816690
138,ribeira grande,38.5167,-28.7,76.77,95,30,8.01,PT,1722816692
139,sorochinsk,52.4338,53.1583,66.67,58,59,5.82,RU,1722816693
140,broken hill,-31.95,141.4333,50.09,84,100,3.6,AU,1722816694
141,udachny,66.4167,112.4,67.66,43,70,9.46,RU,1722816696
142,goshainganj,26.5833,82.3833,79.7,88,85,3.6,IN,1722816697
143,blenheim,-41.516,173.9528,52.52,55,77,3.36,NZ,1722816474
144,bayganin,48.6947,55.8742,73.76,37,30,7.31,KZ,1722816700
145,ploneour-lanvern,47.9,-4.2833,59.29,94,75,0.0,FR,1722816701
146,xiangxiang,27.7333,112.5333,86.67,71,0,4.07,CN,1722816702
147,saumur,47.3333,-0.25,61.84,86,7,5.97,FR,1722816703
148,longyearbyen,78.2186,15.6401,46.24,93,40,10.36,SJ,1722816704
149,tingo maria,-9.2895,-76.0088,75.34,72,49,2.33,PE,1722816706
150,haiku-pauwela,20.9219,-156.3051,87.17,63,20,23.02,US,1722816707
151,sabang,5.8933,95.3214,83.66,74,100,18.5,ID,1722816708
152,kerikeri,-35.2268,173.9474,60.91,70,84,5.01,NZ,1722816710
153,namtsy,62.7161,129.6658,66.16,40,100,10.74,RU,1722816711
154,tiksi,71.6872,128.8694,55.56,54,100,8.72,RU,1722816712
155,taro,-8.3862,115.28,69.8,80,83,2.55,ID,1722816641
156,praia,14.9215,-23.5087,79.21,82,100,5.35,CV,1722816714
157,arraial do cabo,-22.9661,-42.0278,72.54,87,0,26.64,BR,1722816716
158,alakurtti,66.9672,30.3491,49.93,88,3,2.04,RU,1722816717
159,west island,-12.1568,96.8225,75.18,94,100,11.5,CC,1722816718
160,amboasary,-25.0333,46.3833,61.68,88,0,3.83,MG,1722816719
161,gisborne,-38.6533,178.0042,51.78,58,37,2.53,NZ,1722816720
162,xining,36.6167,101.7667,59.83,71,39,2.26,CN,1722816722
163,vila velha,-20.3297,-40.2925,70.95,97,75,2.3,BR,1722816576
164,fruitland,38.3221,-75.6202,78.98,95,100,4.61,US,1722816724
165,afaahiti,-17.75,-149.2833,80.47,74,44,11.65,PF,1722816725
166,hawaiian paradise park,19.5933,-154.9731,81.73,77,75,8.05,US,1722816727
167,susuman,62.7833,148.1667,61.57,40,12,3.85,RU,1722816728
168,arkalyk,50.2486,66.9114,62.91,60,0,5.12,KZ,1722816729
169,riobamba,-1.6667,-78.6333,49.82,83,77,4.97,EC,1722816730
170,sal rei,16.1833,-22.9167,78.62,84,93,9.08,CV,1722816731
171,sur,22.5667,59.5289,86.04,67,100,3.15,OM,1722816552
172,yakeshi,49.2833,120.7333,67.57,81,9,10.22,CN,1722816734
173,college,64.8569,-147.8028,75.45,52,75,4.61,US,1722816735
174,mongo,12.1844,18.693,71.49,91,100,2.44,TD,1722816736
175,port shepstone,-30.7414,30.455,60.78,64,88,19.8,ZA,1722816737
176,new martinsville,39.6445,-80.8576,80.87,65,1,2.75,US,1722816739
177,kuching,1.55,110.3333,80.98,89,58,1.86,MY,1722816740
178,tengrela,10.4869,-6.4097,70.97,97,96,3.47,CI,1722816741
179,nguigmi,14.2495,13.1092,84.29,58,100,16.71,NE,1722816742
180,vorkuta,67.5,64.0,45.95,68,90,10.69,RU,1722816743
181,revelstoke,50.9832,-118.2023,81.59,51,100,9.66,CA,1722816745
182,san pedro,14.35,121.0167,82.31,88,98,1.99,PH,1722816746
183,san angelo,31.4638,-100.437,95.95,33,0,4.0,US,1722816747
184,bam,29.106,58.357,91.76,11,87,6.58,IR,1722816748
185,kapuskasing,49.4169,-82.4331,65.07,43,51,8.9,CA,1722816482
186,keflavik,64.0049,-22.5624,52.23,82,100,21.85,IS,1722816604
187,campo maior,-4.8278,-42.1686,78.71,37,1,4.52,BR,1722816752
188,port mathurin,-19.6833,63.4167,71.73,73,8,13.89,MU,1722816753
189,boyolangu,-8.1181,111.8935,72.54,90,63,0.43,ID,1722816754
190,bako,5.7833,36.5667,65.23,84,67,2.82,ET,1722816755
191,korsakov,46.6328,142.7813,57.04,82,100,5.91,RU,1722816757
192,santa terezinha,-29.9002,-50.0904,61.92,99,100,4.38,BR,1722816758
193,inari,68.906,27.0288,48.4,95,11,4.52,FI,1722816759
194,wailua homesteads,22.0669,-159.378,83.19,71,20,13.8,US,1722816760
195,villa gesell,-37.2639,-56.973,49.05,65,55,10.22,AR,1722816761
196,cururupu,-1.8283,-44.8683,74.37,86,17,2.73,BR,1722816762
197,forster,-32.1667,152.5167,59.38,82,99,5.44,AU,1722816764
198,aasiaat,68.7098,-52.8699,37.87,89,28,5.77,GL,1722816765
199,cedral,23.8,-100.7333,81.37,28,2,13.62,MX,1722816766
200,queenstown,-31.8976,26.8753,44.24,81,94,6.55,ZA,1722816767
201,kirando,-7.4167,30.6,71.76,37,3,6.53,TZ,1722816768
202,gadzhiyevo,69.2551,33.3362,44.58,89,5,1.99,RU,1722816633
203,marieville,45.4334,-73.1658,75.13,83,32,4.18,CA,1722816771
204,aykhal,66.0,111.5,65.86,44,70,10.22,RU,1722816520
205,mutuali,-14.8706,37.0044,61.74,44,72,2.77,MZ,1722816773
206,adh dhayd,25.2881,55.8816,92.07,73,92,8.52,AE,1722816776
207,katsuren-haebaru,26.3369,127.8719,89.98,72,75,11.5,JP,1722816777
208,whitehorse,60.7161,-135.0538,77.02,32,9,3.0,CA,1722816524
209,bikenibeu village,1.3673,173.1241,87.76,66,20,8.05,KI,1722816780
210,klyuchi,52.2667,79.1667,65.5,70,82,6.06,RU,1722816781
211,krasnyy chikoy,50.3643,108.7512,61.21,91,53,1.68,RU,1722816782
212,anadyr,64.75,177.4833,43.3,100,100,17.9,RU,1722816784
213,nar'yan-mar,67.6713,53.087,41.94,77,76,14.34,RU,1722816622
214,pisco,-13.7,-76.2167,61.02,88,0,8.05,PE,1722816553
215,pugachev,52.0133,48.8025,71.17,44,77,0.69,RU,1722816790
216,sebring,27.4956,-81.4409,76.78,90,0,20.71,US,1722816791
217,birni n konni,13.7956,5.2553,76.71,87,98,12.39,NE,1722816792
218,acapulco de juarez,16.8634,-99.8901,85.82,70,75,3.44,MX,1722816723
219,callao,-12.0667,-77.15,64.72,77,75,11.5,PE,1722816795
220,colonia,50.9333,6.95,64.29,83,100,2.73,DE,1722816639
221,saipan,15.1355,145.701,84.9,79,20,14.97,MP,1722816797
222,kingston,17.997,-76.7936,86.95,70,20,17.27,JM,1722816799
223,palikir - national government center,6.9248,158.1611,88.54,70,75,9.22,FM,1722816800
224,taishan,22.2514,112.7799,84.27,82,26,4.65,CN,1722816801
225,kill devil hills,36.0307,-75.676,79.99,86,40,17.27,US,1722816737
226,geraldton,-28.7667,114.6,45.01,93,0,10.36,AU,1722816804
227,houghton,47.1219,-88.569,68.02,62,100,1.01,US,1722816805
228,siesta key,27.302,-82.5515,81.27,78,100,23.02,US,1722816806
229,camayenne,9.535,-13.6878,77.61,84,100,2.89,GN,1722816807
230,shimoda,34.6667,138.95,88.11,70,25,3.29,JP,1722816809
231,lindi,-10.0,39.7167,64.69,93,1,4.54,TZ,1722816810
232,burang,30.25,81.1667,51.82,77,100,3.76,CN,1722816811
233,angaur state,6.906,134.13,83.77,75,64,12.08,PW,1722816812
234,manay,7.215,126.5397,80.96,73,100,0.49,PH,1722816814
235,manokwari,-0.8667,134.0833,74.98,95,100,3.38,ID,1722816815
236,ceerigaabo,10.6162,47.368,64.99,65,31,16.28,SO,1722816816
237,saint-joseph,-21.3667,55.6167,62.98,76,16,6.06,RE,1722816818
238,vorgashor,67.5833,63.95,44.78,69,91,11.03,RU,1722816821
239,newman,37.3138,-121.0208,102.43,11,0,9.95,US,1722816823
240,touros,-5.1989,-35.4608,74.84,79,6,13.31,BR,1722816824
241,mount pearl,47.5166,-52.7813,70.45,95,100,14.97,CA,1722816826
242,kayenta,36.7278,-110.2546,84.31,30,62,18.48,US,1722816828
243,ola,59.5833,151.2833,59.38,76,11,3.85,RU,1722816829
244,baker city,44.7749,-117.8344,92.91,24,0,6.91,US,1722816830
245,meadow lake,34.8014,-106.5436,96.46,27,75,5.41,US,1722816832
246,lorengau,-2.0226,147.2712,82.2,80,100,7.7,PG,1722816833
247,iskateley,67.6803,53.1512,41.86,77,75,14.29,RU,1722816834
248,mcalester,34.9334,-95.7697,96.89,34,0,3.44,US,1722816609
249,salym,60.0625,71.4789,60.31,81,84,2.84,RU,1722816837
250,el hamma,33.8915,9.7963,79.84,69,0,8.52,TN,1722816838
251,dean funes,-30.4204,-64.3498,53.13,46,3,14.56,AR,1722816697
252,krychaw,53.6945,31.7099,60.62,76,74,3.38,BY,1722816840
253,maharaganj,27.1333,83.5667,78.64,93,72,5.86,IN,1722816841
254,la punta,-33.1837,-66.3127,53.96,41,56,6.49,AR,1722816843
255,lincoln city,44.9582,-124.0179,74.28,78,26,18.99,US,1722816844
256,saint joseph,39.7686,-94.8466,91.22,55,0,6.91,US,1722816774
257,port elizabeth,-33.918,25.5701,52.11,62,19,15.99,ZA,1722816569
258,vadso,70.0744,29.7487,50.88,100,100,11.5,NO,1722816603
259,yuzhno-kurilsk,44.0306,145.8556,61.9,99,100,4.92,RU,1722816849
260,san antonio de pale,-1.4014,5.6325,71.91,72,99,8.05,GQ,1722816850
261,grand gaube,-20.0064,57.6608,66.38,85,0,1.01,MU,1722816851
262,chagoda,59.164,35.3285,55.47,97,9,3.58,RU,1722816852
263,crane,31.3974,-102.3501,94.17,25,30,13.02,US,1722816854
264,niamtougou,9.7681,1.1053,71.11,89,91,2.8,TG,1722816855
265,choma,-16.8065,26.9531,58.28,22,0,3.22,ZM,1722816857
266,vyazemskiy,47.5378,134.7525,73.99,80,100,5.26,RU,1722816858
267,acipayam,37.4239,29.3494,74.41,35,0,4.59,TR,1722816859
268,truth or consequences,33.1284,-107.2528,98.83,19,0,11.27,US,1722816860
269,kogalym,62.2654,74.4791,63.81,83,100,3.49,RU,1722816862
270,avarua,-21.2078,-159.775,77.05,69,2,8.05,CK,1722816863
271,iguape,-24.7081,-47.5553,69.08,73,74,5.57,BR,1722816864
272,arochukwu,5.3898,7.914,73.38,94,94,2.55,NG,1722816866
273,mohr,54.3528,9.7167,55.54,91,38,5.75,DE,1722816867
274,quellon,-43.1167,-73.6167,44.98,95,100,5.03,CL,1722816868
275,bakanas,44.8081,76.2772,78.49,32,56,11.54,KZ,1722816869
276,leksand,60.7339,15.0032,56.89,95,87,1.01,SE,1722816871
277,hilo,19.7297,-155.09,81.95,80,75,8.05,US,1722816872
278,borzya,50.3833,116.5167,67.17,67,53,5.7,RU,1722816873
279,valle del guamuez,0.4525,-76.9192,72.86,95,95,1.32,CO,1722816874
280,broome,42.2506,-75.833,77.79,62,5,1.99,US,1722816595
281,mopti,14.6667,-4.0,80.89,74,100,10.16,ML,1722816877
282,canatlan,24.5167,-104.7833,79.48,31,13,12.3,MX,1722816878
283,chukhloma,58.7525,42.6825,55.87,98,75,4.12,RU,1722816879
284,mejit,10.2753,170.8646,83.62,79,15,15.28,MH,1722816625
285,kununurra,-15.7667,128.7333,73.38,60,3,2.3,AU,1722816881
286,navia,43.5354,-6.7194,62.65,98,7,2.3,ES,1722816883
287,la paz,-16.5,-68.15,42.67,67,7,10.4,BO,1722816746
288,nenjiang,49.1833,125.2167,74.25,88,94,11.1,CN,1722816885
289,kalianget,-7.05,113.9333,80.15,65,52,14.36,ID,1722816886
290,naples park,26.2617,-81.8093,81.99,46,100,1.99,US,1722816887
291,nizao,18.25,-70.2,81.46,77,36,10.36,DO,1722816889
292,dunedin,-45.8742,170.5036,50.31,60,72,3.13,NZ,1722816890
293,bridlington,54.0831,-0.1919,64.89,82,100,1.99,GB,1722816891
294,pahrump,36.2083,-115.9839,105.85,13,100,7.0,US,1722816892
295,al jawf,29.5,38.75,79.07,25,4,6.33,SA,1722816893
296,ballina,-28.8667,153.5667,63.79,68,100,1.5,AU,1722816895
297,sulak,43.2734,47.5146,78.03,74,0,11.56,RU,1722816896
298,baraki barak,33.9675,68.9486,71.53,72,90,2.39,AF,1722816672
299,bechar,31.6167,-2.2167,97.12,11,40,0.0,DZ,1722816899
300,kalmunai,7.4167,81.8167,77.61,84,42,5.44,LK,1722816900
301,tura,25.5198,90.2201,75.18,97,96,3.27,IN,1722816901
302,belel,7.05,14.4333,60.49,96,100,2.21,CM,1722816903
303,masterton,-40.9597,175.6575,51.89,70,56,3.71,NZ,1722816904
304,kenora,49.8167,-94.4337,67.17,55,75,4.61,CA,1722816905
305,oberwart,47.2897,16.206,63.99,84,89,3.22,AT,1722816907
306,abbeville,50.1,1.8333,56.5,86,84,3.29,FR,1722816908
307,ust-nera,64.5667,143.2,59.56,56,23,3.06,RU,1722816909
308,nyrob,60.733,56.7202,57.06,99,98,2.89,RU,1722816910
309,lazaro cardenas,17.9583,-102.2,84.83,72,79,7.96,MX,1722816911
310,kailua-kona,19.6406,-155.9956,84.27,79,75,11.5,US,1722816913
311,suva,-18.1416,178.4415,73.36,75,98,12.37,FJ,1722816624
312,new plymouth,-39.0667,174.0833,50.31,100,100,6.46,NZ,1722816915
313,parabel',58.6978,81.4825,61.21,96,100,3.89,RU,1722816916
314,castillos,-34.1667,-53.8333,51.64,81,100,5.12,UY,1722816917
315,benjamin constant,-4.3831,-70.0311,82.53,97,74,3.24,BR,1722816919
316,chernyshevsk,52.5243,117.0174,63.91,72,79,4.63,RU,1722816921
317,kinablangan,7.6947,126.5503,80.19,73,100,1.86,PH,1722816923
318,kasamwa,-2.85,32.4333,64.54,34,65,4.9,TZ,1722816658
319,coahuayana de hidalgo,18.7,-103.6583,84.16,75,96,4.03,MX,1722816926
320,kapa'a,22.0752,-159.319,84.52,68,20,13.8,US,1722816927
321,lochow,52.5308,21.6816,65.88,93,100,4.34,PL,1722816929
322,vung tau,10.346,107.0843,78.89,83,92,8.28,VN,1722816930
323,kemijarvi,66.7131,27.4306,52.36,80,35,2.62,FI,1722816931
324,anchorage,61.2181,-149.9003,69.66,70,0,8.05,US,1722816932
325,hadibu,12.65,54.0333,78.44,77,100,23.64,YE,1722816934
326,wenatchee,47.4235,-120.3103,99.45,25,0,8.05,US,1722816682
327,sinabang,2.4803,96.3801,78.75,84,97,3.6,ID,1722816936
328,luderitz,-26.6481,15.1594,55.45,83,34,17.94,NA,1722816937
329,kitimat,54.0524,-128.6534,89.98,44,59,5.01,CA,1722816939
330,patterson,37.4716,-121.1297,101.01,14,0,9.04,US,1722816777
331,hasaki,35.7333,140.8333,86.4,71,1,2.77,JP,1722816941
332,lihue,21.9789,-159.3672,83.79,63,20,13.8,US,1722816942
333,soto la marina,23.7667,-98.2167,86.5,62,2,10.27,MX,1722816944
334,banda aceh,5.5577,95.3222,80.49,79,95,12.15,ID,1722816945
335,diebougou,10.9667,-3.25,73.62,91,100,4.94,BF,1722816946
336,petropavlovsk-kamchatsky,53.0452,158.6483,64.99,63,20,6.71,RU,1722816948
337,kangding,30.0513,101.9603,64.38,85,5,4.12,CN,1722816949
338,djelfa,34.6728,3.263,73.13,33,0,5.01,DZ,1722816951
339,kavaratti,10.5669,72.642,81.68,80,77,9.82,IN,1722816952
340,sen monorom,12.45,107.2,70.97,96,77,1.54,KH,1722816953
341,isla cristina,37.2,-7.3167,76.28,43,0,5.66,ES,1722816954
342,arteche,12.2645,125.4048,79.9,88,100,4.32,PH,1722816956
343,usinsk,65.9939,57.5281,54.97,81,100,22.24,RU,1722816957
344,grand falls-windsor,48.9332,-55.6649,75.51,84,98,5.06,CA,1722816785
345,cabo san lucas,22.8909,-109.9124,94.6,45,20,9.22,MX,1722816959
346,acarau,-2.8856,-40.12,77.18,82,2,16.91,BR,1722816960
347,mazatlan,23.2167,-106.4167,89.91,72,40,9.22,MX,1722816961
348,ugoofaaru,5.6667,73.0,82.09,77,98,8.93,MV,1722816963
349,kisangani,0.5167,25.2,72.7,85,100,3.11,CD,1722816965
350,ancud,-41.8697,-73.8203,48.34,88,100,30.87,CL,1722816967
351,martapura,-3.4167,114.85,75.29,94,0,3.44,ID,1722816968
352,esikhaleni,-28.871,31.8996,66.79,75,77,12.88,ZA,1722816969
353,ha'il,27.5219,41.6907,80.62,26,0,2.3,SA,1722816970
354,chui,-33.6971,-53.4616,53.19,86,100,5.5,UY,1722816971
355,mili,6.0815,171.735,83.7,76,51,12.97,MH,1722816973
356,hit,33.6416,42.8251,90.16,18,0,12.62,IQ,1722816974
357,kalabo,-14.97,22.6814,61.99,25,4,4.54,ZM,1722816975
358,tazovsky,67.4667,78.7,42.37,78,97,12.17,RU,1722816976
359,beyneu,45.3167,55.2,84.02,31,58,2.68,KZ,1722816977
360,pangody,65.85,74.4859,52.07,60,100,16.4,RU,1722816979
361,kuanda,56.3161,116.0806,61.11,78,15,2.95,RU,1722816980
362,bubaque,11.2833,-15.8333,78.64,84,100,8.23,GW,1722816981
363,verkhnevilyuysk,63.4453,120.3167,66.2,44,18,8.86,RU,1722816983
364,chakari,-18.0629,29.8925,55.44,27,5,4.54,ZW,1722816984
365,chifeng,42.2683,118.9636,77.97,60,100,5.7,CN,1722816985
366,nagqu,31.5,92.0,40.15,82,0,2.44,CN,1722816987
